Lema;Frases;Categoria Gramatical;Categoria Gramatical Simple;Numero de silabas;Grupo tematico;Frecuencia Absoluta;Frecuencia Normalizada;Tipo de signo;Iconicidad;Planos Inicial;Planos Final;Localizacion facial/corporal Inicial;Localizacion facial/corporal Final;Puntos de contacto;PC Meñique;PC Anular;PC Corazon;PC Indice;PC Pulgar;PC Mano;Mano activa inicial;Mano activa inicial orientacion;Mano pasiva inicial;Mano pasiva inicial orientacion;Mano activa intermedio;Mano activa intermedio orientacion;Mano pasiva intermedio;Mano pasiva intermedio orientacion;Mano activa final;Mano activa final orientacion;Mano pasiva final;Mano pasiva final orientacion;Articulador;Articulador Codo;Articulador Dedos;Articulador Hombro;Articulador Muñeca;Movimiento de trayectoria;Cambio de configuracion;N_Cambio de configuracion;Cambio de orientacion;N_Cambio de orientacion;Desde;Hasta;Velocidad;Contacto;Momento de contacto;Repeticion;Producciones del movimiento;Ojos;Mejillas;Cejas;Boca;Cabeza;Hombros;N_Videos;Imagen Mano Activa Inicial;Imagen Mano Activa Inicial Orientacion;Imagen Mano Pasiva Inicial;Imagen Mano Pasiva Inicial Orientacion;Imagen Mano Activa Intermedio;Imagen Mano Activa Intermedio Orientacion;Imagen Mano Pasiva Intermedio;Imagen Mano Pasiva Intermedio Orientacion;Imagen Mano Activa Final;Imagen Mano Activa Final Orientacion;Imagen Mano Pasiva Final;Imagen Mano Pasiva Final Orientacion;Imagen Ojos;Imagen Mejillas;Imagen Cejas;Imagen Boca;Imagen Cabeza;Imagen Hombros;video;numero
1/7/02 0:00;true;Frase;Frase;1;tiempo;3392;22,23;monomanual;No iconico;1;1;Cara media;Cara media;4 Dedos;1;1;1;1;0;0;52.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;52.0;5.0;0.0;0.0;Codo;1;0;0;0;Recto;No;1;Vibr;3;def;def;Normal;Fijo;entero;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/52.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/5.jpg;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/52.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/5.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-03-Ojos-abiertos.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;desconocido;desconocido;desconocido;desconocido;0
False;false;Nombre propio;Sustantivo;2;caracteristicas;3392;22,23;monomanual;No iconico;1;1;Tronco;Tronco;Mano;0;0;0;0;0;1;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;Codo y Hombro;1;0;1;0;Arco ;No;1;No;1;def;def;Normal;Golpe;mov;rep. unica;2;Normales;Normales;Normales;vocalizar;No;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/4.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/4.jpg;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/4.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/4.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-03-Ojos-abiertos.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cabeza-01-No.jpg;desconocido;desconocido;0
a;false;Preposicion;Preposicion;1;abecedario;3260939;21375,03;monomanual;No iconico;2;2;Espacio neutro;Espacio neutro;No tiene;0;0;0;0;0;0;1.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;0.0;Hombro;0;0;1;0;Recto;No;1;No;1;def;def;Normal;No tiene;No tiene;desconocido;1;Normales;Normales;Normales;abrierta;Normales;Normales;1;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/1.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/9.jpg;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/1.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/9.jpg;desconocido;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-03-Ojos-abiertos.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/boca-11-muy-abierta.jpg;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/13515.mp4;13515
a gruñir;true;Frase;Frase;1;miscelanea;3392;22,23;desconocido;desconocido;4;4;Espacio neutro;Espacio neutro;Desconocido;2;2;2;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Desconocido;Desconocido;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;1;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/19047.mp4;19047
a la maquina de aserrar;true;Frase;Frase;1;miscelanea;3392;22,23;desconocido;desconocido;4;4;Espacio neutro;Espacio neutro;Desconocido;2;2;2;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Desconocido;Desconocido;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;1;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/19229.mp4;19229
a montar;true;Frase;Frase;1;miscelanea;3392;22,23;desconocido;desconocido;4;4;Espacio neutro;Espacio neutro;Desconocido;2;2;2;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Desconocido;Desconocido;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;1;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/19211.mp4;19211
a salvo;true;Frase;Frase;1;miscelanea;3392;22,23;desconocido;desconocido;4;4;Espacio neutro;Espacio neutro;Desconocido;2;2;2;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Desconocido;Desconocido;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;1;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/12611.mp4;12611
a sonar;true;Frase;Frase;1;miscelanea;3392;22,23;desconocido;desconocido;4;4;Espacio neutro;Espacio neutro;Desconocido;2;2;2;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Desconocido;Desconocido;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;1;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/19043.mp4;19043
abadia;false;Nombre comun (singular);Sustantivo;2;lugares;565;3,7;bimanual sucesivas;Parte entidad figurada;2;1;Dedos;Espacio neutro;1 Dedo;0;0;1;0;0;0;48.0;5.0;48.0;30.0;22.0;49.0;22.0;48.0;22.0;2.0;22.0;28.0;Muñeca y Codo;1;0;0;1;Arco ;Si;2;Si;2;def;def;Normal;Toque;inicial;contenida;1;Algo cerrados;Normales;Normales;vocalizar;Normales;Normales;0;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/48.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/5.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/48.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/30.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/22.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/49.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/22.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/48.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/22.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/2.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/22.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/configuracion/28.jpg;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/ojos-01-Entornarse-los-parpados.jpg;desconocido;http://lse-sign.bcbl.eu/web-busqueda/wp-content/themes/twentyeleven/img_bcbl/elementosnomanuales/cejas-01-Cejas-sin-movimiento.jpg;desconocido;desconocido;desconocido;desconocido;0
abajo;false;Adverbio (general);Adverbio;1;miscelanea;11985;78,56;desconocido;desconocido;4;4;Espacio neutro;Espacio neutro;Desconocido;2;2;2;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Codo y Hombro;1;0;1;0;Recto;No;1;No;1;def;def;Normal;Desconocido;Desconocido;desconocido;1;Normales;Normales;Normales;vocalizar;Normales;Normales;1;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;desconocido;http://old.arasaac.org/repositorio/LSE_acepciones_mp4/14088.mp4;14088
